Time	Ch 0
[s]	[V]
0.599318	1.338932
0.599985	1.328079
0.600652	1.317555
0.601318	1.306374
0.601985	1.295850
0.602652	1.284340
0.603318	1.273488
0.603985	1.261977
0.604652	1.249809
0.605318	1.239614
0.605985	1.228433
0.606652	1.217580
0.607318	1.205741
0.607985	1.194560
0.608651	1.183707
0.609318	1.172197
0.609985	1.160687
0.610651	1.149505
0.611318	1.138653
0.611985	1.126814
0.612651	1.115961
0.613318	1.104122
0.613985	1.092283
0.614651	1.081430
0.615318	1.069920
0.615985	1.058081
0.616651	1.046899
0.617318	1.035718
0.617985	1.023879
0.618651	1.012040
0.619318	1.000529
0.619984	0.989348
0.620651	0.977509
0.621318	0.965999
0.621984	0.954159
0.622651	0.942320
0.623318	0.931139
0.623984	0.918971
0.624651	0.906474
0.625318	0.895293
0.625984	0.883453
0.626651	0.871614
0.627318	0.860762
0.627984	0.848923
0.628651	0.836426
0.629318	0.825244
0.629984	0.813076
0.630651	0.801566
0.631318	0.789069
0.631984	0.777559
0.632651	0.765391
0.633317	0.754209
0.633984	0.741713
0.634651	0.729873
0.635317	0.718034
0.635984	0.704880
0.636651	0.693698
0.637317	0.681859
0.637984	0.669362
0.638651	0.657194
0.639317	0.645355
0.639984	0.633516
0.640651	0.621348
0.641317	0.609509
0.641984	0.597341
0.642651	0.585173
0.643317	0.572676
0.643984	0.560837
0.644651	0.548669
0.645317	0.536501
0.645984	0.524333
0.646651	0.511507
0.647317	0.499339
0.647984	0.486513
0.648650	0.474016
0.649317	0.462177
0.649984	0.450338
0.650650	0.437841
0.651317	0.425344
0.651984	0.413505
0.652650	0.401337
0.653317	0.388511
0.653984	0.376672
0.654650	0.364175
0.655317	0.352007
0.655984	0.339839
0.656650	0.326684
0.657317	0.314845
0.657984	0.302348
0.658650	0.289852
0.659317	0.277684
0.659983	0.265516
0.660650	0.253019
0.661317	0.240193
0.661983	0.228025
0.662650	0.215528
0.663317	0.203031
0.663983	0.191192
0.664650	0.178366
0.665317	0.165212
0.665983	0.152715
0.666650	0.141204
0.667317	0.128050
0.667983	0.115882
0.668650	0.104043
0.669317	0.091217
0.669983	0.079049
0.670650	0.066552
0.671317	0.054713
0.671983	0.041229
0.672650	0.029390
0.673316	0.016893
0.673983	0.004068
0.674650	-0.008758
0.675316	-0.020269
0.675983	-0.032765
0.676650	-0.045591
0.677316	-0.058746
0.677983	-0.070585
0.678650	-0.083411
0.679316	-0.095908
0.679983	-0.107418
0.680650	-0.120244
0.681316	-0.132412
0.681983	-0.144909
0.682650	-0.157077
0.683316	-0.169902
0.683983	-0.182399
0.684650	-0.194567
0.685316	-0.206735
0.685983	-0.219232
0.686649	-0.232716
0.687316	-0.243897
0.687983	-0.257052
0.688649	-0.270535
0.689316	-0.282703
0.689983	-0.294871
0.690649	-0.307697
0.691316	-0.319207
0.691983	-0.331704
0.692649	-0.344530
0.693316	-0.356369
0.693983	-0.368866
0.694649	-0.382021
0.695316	-0.393202
0.695983	-0.405699
0.696649	-0.418196
0.697316	-0.430364
0.697983	-0.442532
0.698649	-0.455358
0.699316	-0.467197
0.699982	-0.479365
0.700649	-0.491204
0.701316	-0.504030
0.701982	-0.515869
0.702649	-0.529024
0.703316	-0.540863
0.703982	-0.553360
0.704649	-0.566185
0.705316	-0.577367
0.705982	-0.590193
0.706649	-0.602361
0.707316	-0.614857
0.707982	-0.626368
0.708649	-0.638536
0.709316	-0.650704
0.709982	-0.662543
0.710649	-0.674711
0.711316	-0.686879
0.711982	-0.699376
0.712649	-0.711215
0.713315	-0.723383
0.713982	-0.735551
0.714649	-0.746733
0.715315	-0.758572
0.715982	-0.771069
0.716649	-0.782908
0.717315	-0.794747
0.717982	-0.806915
0.718649	-0.818425
0.719315	-0.830593
0.719982	-0.842432
0.720649	-0.854601
0.721315	-0.866111
0.721982	-0.878608
0.722649	-0.889460
0.723315	-0.901628
0.723982	-0.913467
0.724649	-0.925307
0.725315	-0.937475
0.725982	-0.948656
0.726648	-0.960495
0.727315	-0.972334
0.727982	-0.983845
0.728648	-0.996013
0.729315	-1.007523
0.729982	-1.019362
0.730648	-1.031859
0.731315	-1.043041
0.731982	-1.055866
0.732648	-1.066390
0.733315	-1.077571
0.733982	-1.089082
0.734648	-1.100592
0.735315	-1.113089
0.735982	-1.124270
0.736648	-1.135781
0.737315	-1.146962
0.737982	-1.158144
0.738648	-1.169654
0.739315	-1.180835
0.739981	-1.191688
0.740648	-1.203856
0.741315	-1.214380
0.741981	-1.225890
0.742648	-1.236742
0.743315	-1.247924
0.743981	-1.259763
0.744648	-1.270945
0.745315	-1.282455
0.745981	-1.292979
0.746648	-1.304489
0.747315	-1.315341
0.747981	-1.326852
0.748648	-1.338362
0.749315	-1.349215
0.749981	-1.359409
0.750648	-1.370591
0.751315	-1.381443
0.751981	-1.392625
0.752648	-1.403477
0.753314	-1.414659
0.753981	-1.424854
0.754648	-1.436035
0.755314	-1.446888
0.755981	-1.456754
0.756648	-1.467935
0.757314	-1.478788
0.757981	-1.489311
0.758648	-1.499506
0.759314	-1.510688
0.759981	-1.521211
0.760648	-1.532064
0.761314	-1.542588
0.761981	-1.553111
0.762648	-1.563964
0.763314	-1.573501
0.763981	-1.584025
0.764648	-1.594220
0.765314	-1.605730
0.765981	-1.615596
0.766647	-1.626120
0.767314	-1.636314
0.767981	-1.646509
0.768647	-1.656046
0.769314	-1.666899
0.769981	-1.676765
0.770647	-1.686631
0.771314	-1.696497
0.771981	-1.706034
0.772647	-1.716558
0.773314	-1.726753
0.773981	-1.736619
0.774647	-1.746813
0.775314	-1.755364
0.775981	-1.765888
0.776647	-1.775425
0.777314	-1.785948
0.777981	-1.795814
0.778647	-1.806009
0.779314	-1.814889
0.779980	-1.824426
0.780647	-1.834292
0.781314	-1.843829
0.781980	-1.853037
0.782647	-1.862574
0.783314	-1.871782
0.783980	-1.881648
0.784647	-1.890528
0.785314	-1.899736
0.785980	-1.910260
0.786647	-1.919139
0.787314	-1.928018
0.787980	-1.937227
0.788647	-1.946106
0.789314	-1.955972
0.789980	-1.965180
0.790647	-1.973731
0.791314	-1.982281
0.791980	-1.991490
0.792647	-1.999711
0.793314	-2.008591
0.793980	-2.017799
0.794647	-2.027336
0.795313	-2.036544
0.795980	-2.044437
0.796647	-2.053316
0.797313	-2.062525
0.797980	-2.070746
0.798647	-2.078968
0.799313	-2.087847
0.799980	-2.096398
0.800647	-2.104948
0.801313	-2.114157
0.801980	-2.122049
0.802647	-2.129284
0.803313	-2.137506
0.803980	-2.146057
0.804647	-2.154607
0.805313	-2.162829
0.805980	-2.170722
0.806646	-2.178943
0.807313	-2.186836
0.807980	-2.194400
0.808646	-2.202950
0.809313	-2.210514
0.809980	-2.218736
0.810646	-2.225971
0.811313	-2.234193
0.811980	-2.241757
0.812646	-2.249978
0.813313	-2.256884
0.813980	-2.264777
0.814646	-2.272341
0.815313	-2.280234
0.815980	-2.287140
0.816646	-2.294704
0.817313	-2.301939
0.817980	-2.309174
0.818646	-2.316738
0.819313	-2.324302
0.819979	-2.331208
0.820646	-2.338114
0.821313	-2.345020
0.821979	-2.352584
0.822646	-2.359819
0.823313	-2.366397
0.823979	-2.373632
0.824646	-2.380209
0.825313	-2.387115
0.825979	-2.394022
0.826646	-2.400599
0.827313	-2.407834
0.827979	-2.414082
0.828646	-2.420989
0.829313	-2.427566
0.829979	-2.433814
0.830646	-2.440392
0.831313	-2.446969
0.831979	-2.453217
0.832646	-2.459466
0.833313	-2.466372
0.833979	-2.471963
0.834646	-2.478211
0.835312	-2.484460
0.835979	-2.490708
0.836646	-2.496299
0.837312	-2.502547
0.837979	-2.508467
0.838646	-2.514386
0.839312	-2.519977
0.839979	-2.525897
0.840646	-2.531816
0.841312	-2.537078
0.841979	-2.542998
0.842646	-2.548917
0.843312	-2.554837
0.843979	-2.560428
0.844646	-2.566018
0.845312	-2.571609
0.845979	-2.576871
0.846645	-2.582133
0.847312	-2.587724
0.847979	-2.592657
0.848645	-2.598247
0.849312	-2.603180
0.849979	-2.608113
0.850645	-2.613375
0.851312	-2.617979
0.851979	-2.623241
0.852645	-2.627845
0.853312	-2.632449
0.853979	-2.637382
0.854645	-2.641986
0.855312	-2.646919
0.855979	-2.651852
0.856645	-2.656128
0.857312	-2.660403
0.857979	-2.664349
0.858645	-2.668625
0.859312	-2.672900
0.859978	-2.677175
0.860645	-2.681779
0.861312	-2.685726
0.861978	-2.690659
0.862645	-2.694605
0.863312	-2.699209
0.863978	-2.703484
0.864645	-2.707102
0.865312	-2.710062
0.865978	-2.714995
0.866645	-2.718941
0.867312	-2.721901
0.867978	-2.726176
0.868645	-2.729465
0.869312	-2.733082
0.869978	-2.737029
0.870645	-2.739331
0.871312	-2.743606
0.871978	-2.746566
0.872645	-2.749197
0.873311	-2.752814
0.873978	-2.756432
0.874645	-2.759721
0.875311	-2.762680
0.875978	-2.765311
0.876645	-2.768929
0.877311	-2.771889
0.877978	-2.774191
0.878645	-2.777150
0.879311	-2.780439
0.879978	-2.783399
0.880645	-2.785372
0.881311	-2.787674
0.881978	-2.789976
0.882645	-2.793594
0.883311	-2.795896
0.883978	-2.798527
0.884645	-2.800829
0.885311	-2.803460
